DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
166123,166123,,Mk10,20:00:00 04-May-2017,,,,0.0,-1.0,Status
166123,166123,,Mk10,21:00:00 04-May-2017,,,,0.0,-1.4,Status
166123,166123,,Mk10,22:00:00 04-May-2017,,,,0.0,-1.3,Status
166123,166123,,Mk10,23:00:00 04-May-2017,,,,0.0,-1.2,Status
166123,166123,,Mk10,04:00:00 05-May-2017,,,,0.0,-0.5,Status
166123,166123,,Mk10,06:00:00 05-May-2017,,,,0.0,-0.7,Status
166123,166123,,Mk10,07:00:00 05-May-2017,,,,0.0,-1.3,Status
166123,166123,,Mk10,01:00:00 06-May-2017,,,,0.0,-1.2,Status
166123,166123,,Mk10,10:00:00 07-May-2017,,,,0.0,-0.4,Status
166123,166123,,Mk10,11:00:00 09-May-2017,,,,0.0,-1.1,Status
166123,166123,,Mk10,05:00:00 10-May-2017,,,,0.0,-0.5,Status
166123,166123,,Mk10,01:00:00 11-May-2017,,,,0.0,-1.0,Status
166123,166123,,Mk10,03:00:00 11-May-2017,,,,0.0,-0.8,Status
166123,166123,,Mk10,09:00:00 13-May-2017,,,,0.0,0.1,Status
